id,title_en,description_en
123,"Waste, committees protection Colline Picene want the involvement in debate","In the next few days, the scope of territorial authority will meet to discuss the issue of waste management. There is no evidence that we can make alternative proposals to award the landfill of Geta, completely ignoring the serious problem of pollution...."
124,Would the candiru fish really eat your genitals?,"The story is that the fish swims up a stream of urine into a man's penis, then eats it from the inside. But is there any truth to it? Of all the denizens of the Amazon basin, there is none more feared than the tiny fish known as the candiru. Since coming to the attention of science in the early 19th...."
125,"Interview: Harvey Wheaton, chief executive of CodeClan","WHEATON says heading up Scotland’s coding academy is his ‘dream job’ After more than 25 years in software development roles, including spells at JPMorgan Chase, Cap Gemini and gaming giant Electronic Arts, Harvey Wheaton decided to take what was effectively a career break to figure out what he wanted to do next."
126,Eu commissioner for climate policy: the need for trillion for energy,"According to him, in the first instance it is the completion of a genuine internal energy market within the European Union, the establishment of a suitable investment environment needed to encourage the private sector to invest capital in this sector, as well as promoting the economy hydrogen-inclusive low‑carbon."
127,Buyers fear harm from fish,"and adrian chan No danger, we promise: Sungai Balok fishermen insist that their catch is safe for consumption, as it is caught 40km away from the beaches feared to be polluted with bauxite dust.

BENTONG: Consumers buying fish here are being extra careful they fear the controversial bauxite mining...."
128,The Ticker Business in Brief: Tel Aviv Stocks Close Moderately Lower Despite Sharp Drops Overseas,"An investor watches the screen at a brokerage house in Fuyang, central China. AP Fosun chief visits Israel in bid to pave way for purchase of Phoenix Holdings. The chairman of Fosun International – the Chinese conglomerate that is seeking to acquire a controlling interest in the Israeli insurance...."
129,Michigan troopers will hand out bottled water in Flint,"The move, announced by the state Sunday, is intended to help address the ongoing water crisis in the city. Flint's drinking water was contaminated with lead, and an unknown number of children were poisoned while the city was under the control of a state-appointed emergency manager in 2014 and 2015."
130,The benefits of recycled water,"It's been called ""toilet-to-tap"" - much to the chagrin of water experts and managers. In some parts of the world, the wastewater that flows down the drain - yes, including toilet flushes - is now being filtered and treated until it's as pure as spring water, if not more so."
131,VW makes proposal,"BERLIN : Volkswagen engineers have come up with a catalytic converter that could be fitted to around 430,000 cars in the United States as a fix for vehicles capable of cheating emissions tests, German daily Bild am Sonntag reported. The converter would be fitted to cars with the first generation of...."
132,I am doing my job - Holness - Opposition leader says post - on Facebook not a move to politicise bad gas issue,"Jamaica Labour Party (JLP) Leader Andrew Holness has shot down suggestions that a video he posted on social media only serves to politicise the ongoing bad gas saga, even as he acknowledged that the clip is a re-enactment. In the 26-second video that was posted to Holness' Facebook page last week,...."
133,Suspended in air quality,"The two major metropolitan ­áreas españolas, Madrid and Barcelona, have returned to suspend in 2015 its examination of air quality. Pollution by nitrogen dioxide (NO 2), caused primarily by emissions of vehicles, exceeded the maximum permissible limits by the european community directive."
134,"Economic Growth: Will Fiscal, Monetary Policies Cooperate With ‘Change’ Budget?","The 2016 N6.08 trillion budget shows a clear deviation from the past in terms of capital spend, fiscal discipline and policy priority. Budget deficit is to double to N2.2trillion even as the government plans to revive the economy by tripling capital expenditure to N1.9trillion."
135,Violation of ban : Motor boating continues to pollute Rawal Lake,"Pakistan Environmental Protection Agency (Pak-EPA) has expressed concern over the pollution caused by motorised boats operating in the reservoir, which supplies drinking water to over 3.5 million residents of Rawalpindi. Islamabad High Court (IHC) had ordered a complete ban on all types of boat activity in the lake in 2006."
136,Vw-chef k�ndigt US-Investition to,"Abgas-skandal ⋅ Volkswagen-chef Matthias M�ller, on his first official US-Besuch f�r the Abgasaff�re apologised. At the same time, the commitment of the group he bekr�ftigte on the north american market. ""We know that our customers, the zust�ndigen state bodies and the...."
137,Chemical plant explosion spurs massive blaze in south-eastern China,Frightened residents in south-eastern China thought they were simply filming a blazing inferno when they managed to capture a massive explosion at a chemicals plant. The fire in the city of Lengshuijiang broke out about 11.20pm (AEDT) on Saturday and firefighters were able to bring it under control - with no casualties reported.
138,VW CEO plans to submit emissions fixes to EPA chief,DETROIT (AP) — Volkswagen's new chief executive plans to present remedies for fixing diesel engines that cheat on emissions tests when he meets with the top U.S. environmental regulator this week. CEO Matthias Mueller said that as of now VW has only given technical data to the Environmental Protection Agency and the California Air Resources Board.
139,R&D funds spurring world-class research here,"For decades, gastric cancer has been a silent killer, sneaking up on more than 700,000 unsuspecting victims in Asia every year and surfacing only when patients have little chance of recovery.

But in recent years, Singapore scientists have edged closer to uncovering the sinister cancer early."
140,Wind energy output ‘could power most Scots homes’,"Wind power output hit record levels last year, generating enough energy to supply the electrical needs of 97 per cent of Scottish homes. Turbines provided 10,392,439 MWh of electricity to the National Grid, enough on average to supply 2.34 million homes, up 16 per cent compared to the previous year."
141,"'It is very difficult to change the tendency to high temperatures ""","It is responsible for coordinating the forecasting and monitoring the weather phenomena in the canary islands and, therefore, in recent months he has asked a lot this summer to live long. Jesus Agüera explains here but would point out that in the islands is affecting global warming and...."
142,Altona locals kick up a stink over long-running smell,"The first thing that hits you when arriving at Altona is the beach, the bright blue hue of the water. The second thing is the smell. It smells strongly of seaweed, a salty, slightly fishy scent. It's not actually bad, just strong. But according to locals, once the sun goes down, that's when ""strong"" turns to ""stinky""."
143,MP pushes for turning Department of Environment into ministry,"Tehran Times Social Desk TEHRAN — It is the best idea to turn the Department of Environment into a ministry in order to be accountable for existing serious environmental predicaments, the vice chairman of the environment group of the Majlis, Mehrdad Ba’ouj Lahouti, said. “Currently, the department of environment is not an accountable organization."
144,Southwest China city tries to help make smog-free meat,"People smoke sausages in the open air in Dazhou, Sichuan province, on Dec 27. Photo: China Daily.

The environmental watchdog in Dazhou, Sichuan province, will provide more than 100 machines and equipment to allow residents to smoke meat in an enclosed environment without polluting the air."
145,"Icy roads, power outages as messy winter storm slams GTA","The Greater Toronto Area is being slammed by an ugly mix of rain, snow, strong winds and freezing temperatures, making for dangerous driving conditions, road closures and scattered power outages. Earlier Sunday, Environment Canada issued issued snow squall watches for parts of the GTA and surrounding areas."
146,Number of birds migrating from Siberia to Pakistan declines,"ISLAMABAD: The number of birds migrating from Siberia, which add colours to the wetlands of Pakistan, has declined drastically in recent years. Extreme weather in Russia forces many precious species of birds to leave their home in search of moderate weather which they find in India, but on their way...."
147,Buhari Will Rebound Economy In 18 Months – Ekeh,"Chairman of Zinox Group, Mr Leo Stan Ekeh in this interaction with technology journalists at the weekend, x-rays the current economic challenges and proffers way out on how government can work with the private sector to rebound the economy. He also projects that investing in education can leap frog Nigeria into a digital economy."
148,Vw-chef apologises in the USA for exhaust gas affair,"""We know that our customers, the competent public authorities and the general public, here in the united states have very disappointed,"" said Müller on Sunday evening (local time) in Detroit. The VW-Chef asked ""to apologise for what at Volkswagen went wrong"" and stated:...."
149,McAllister Litho investing more than £3 million,Managing director Jeanette McAllister said: “Our current printers are not end of life but technology changes constantly. We feel the technology has moved forward so much that we need to move forward with the times. “The new presses will run alcohol free so it is environmentally effective and will generate a lot less waste.
150,Microsoft’s Satya Nadella gets coveted spot for Obama’s State of Union,"Microsoft also is one of the tech companies the administration has reached out to for help in a campaign to combat the Islamic State terror group.

By Margaret Talev chief executive officer Satya Nadella is among 23 guests invited to join first lady Michelle Obama to watch President Barack Obama's...."
151,Putin says he wants global cooperation against terrorism - Bild,"Monday, 11 January 2016 | MYT 11:05 AM Putin says he wants global cooperation against terrorism - Bild. by dmitry solovyov MOSCOW (Reuters) - Russia wants to fight terrorism jointly with the rest of the world, President Vladimir Putin said in an interview published on Monday, while again accusing...."
152,VW chief apologises for emission deception on trip to core US market,"Volkswagen AG’s chief executive officer has apologised to American car buyers in his first public appearance in the US since being hired in the wake of the scandal over the firm’s rigging of emissions tests on its so-called clean diesel engines. “We are totally committed to making things right,”...."
153,iCar could crash and burn,"The iCar may be closer to reality than anyone knew but the road to success is paved with potholes. Apple is known for keeping a tight lid on innovation, yet records show it registered the domains Apple.Car and Apple.Auto on Dec. 9, the latest sign that the Cupertino-based consumer electronics giant is developing an electric vehicle."
154,"Beijing to shut 2,500 polluting firms this year","Beijing will shut down 2,500 small and polluting firms in 2016 in its latest environmental protection efforts, said the municipal government. Fengtai, Fangshan, Tongzhou and Daxing districts are required to close 2,500 small and polluting enterprises at the end of this year while the whole city will finish the task in 2017."
155,Achieving poverty reduction and social inclusion through green growth,"The alignment of economic and social development with environmental sustainability is a key theme of the SDGs, as the effects of rising temperatures, increasingly frequent natural disasters, and a growing world population have made it clear that sustainable growth is not possible without protection to the environment."
156,Bitter debate over nuclear power roils rural S. Korea,"YEONGDEOK, South Korea -- Visitors to this idyllic stretch of coast marvel at the landscapes of emerald sea crashing against steep bluffs and undulating hills quilted with green pines. They stop at seaside restaurants with cheerful red signs advertising the local delicacy, known as bamboo crab, and...."
157,Film screening,"Matterden CFC is screening Stanley Kubrick’s 1964 political satire about doomsday and the Cold War politics that ends in an accidental, pre-emptive nuclear attack. The film is loosely based on Peter George’s thriller novel Red Alert , and surrounds a United States Air Force general who orders a first strike nuclear attack on the Soviet Union."
158,"Hardlook: Change in the air, on the ground","A market closed in Greater Noida’s Kasana Tower in accordance with the new rule. The decision to alter holidays, working hours and timings was reached after consultations with stakeholders over a course of two months. (Express Photo by Gajendra Yadav) Amid the buzz around Delhi’s odd-even policy,...."
159,Delhi govt to consider restricting use of firecrackers at weddings,(Source: Reuters) A committee under the environment secretary of the Delhi government that is revisiting the existing norms pertaining to firecrackers is mulling over restricting their use in weddings. “We receive many complaints when there are too many weddings happening around the same time.
160,Recyclinghof takes coloured reste to,"Düsseldorf (dpa/tmn) - paints, solvents, Unkrautvernichter and other chemicals may overturn the home either in the Gully in the house outflow throw. The. Therefore the remains will be the best for the pollutant adoption on Recyclinghof - and transparent in a carton or a Kunststoffbox stacked."
161,Vw-ceo entschludigt for exhaust gas affair,"Volkswagen-chef Matthias Müller, on his first official US-Besuch apologised for the exhaust gas affair. At the same time, he reaffirmed the commitment of the group on the north american market. «we know that our customers, the competent state bodies and the general...."
162,From carbon dioxide and water - up to 85 per cent,"11.01.2016 - 00:09 p. m. from carbon dioxide and water - up to 85 per cent less CO2: Blue Crude, the new Diesel. Experts from the Uni Stuttgart have the environmental balance of the synthetic Diesel Blue Crude’. Under certain conditions, the Öko-Sprit miracle. But there are still many problems."
163,10.01.2016. 19:10 Dževdet Hadžiselimović: Klimatske promjene osnovni su uzrok rata u Siriji,"P oznati pulski psiholog Dževdet Hadžiselimović zadnjih se godina posebno zanima za klimatske promjene, točnije za psihologiju klimatskih promjena, njihov utjecaj na mentalno zdravlje ljudi, globalna društvena kretanja i uvjete života na Zemlji. Knjigom pod naslovom »Klima se mijenja, a mi…«, koju...."
164,Lenovo and Google's 'Project Tango' phone could give you indoor directions,"Two of the tech industry's biggest players have combined their know-how to answer one of the age old smartphone problems, showing off a 3D mapping technology that could allow for indoor navigation. A central hindrance for Google Maps is its inability to tell you where you're going while there is a roof overhead."
165,Kupas Detail All-New Pajero Sport Langsung dari Jepang,"Tidak ada sudut kaku, semua lekuk tubuhnya mendukung aerodinamis dan sudah melewati ujian di terowongan angin. Drag coefficient berkurang 13 persen dibanding pendahulunya. Semua tipe All-New Pajero menggunakan penerangan LED serta pelek 18 inci dengan dua pilihan desain."
166,Vw-chef k�ndigt US-Investition to,"Abgas-skandal ⋅ Volkswagen-chef Matthias M�ller, on his first official US-Besuch f�r the Abgasaff�re apologised. At the same time, the commitment of the group he bekr�ftigte on the north american market. ""We know that our customers, the zust�ndigen state bodies and the...."
167,VW CEO Plans to Submit Emissions Fixes to EPA Chief,Volkswagen's new chief executive plans to present remedies for fixing diesel engines that cheat on emissions tests when he meets with the top U.S. environmental regulator this week. CEO Matthias Mueller said that as of now VW has only given technical data to the Environmental Protection Agency and the California Air Resources Board.
168,Abgas-skandal VW-Chef announces US-Investition to,"«we know that our customers, the competent public authorities and the general public very disappointed here in the united states have», said Müller on Sunday evening (local time) in Detroit. The VW-Chef asked «to apologise for what at Volkswagen went wrong 'and stated:...."
169,Falconry program keeps Terranea Resort free of seagulls,"Posted: 01/10/16, 5:20 PM PST Updated: 23 mins ago # Comments Joe Roy III prepares his Harris hawk named Alaka for a flight at the Terranea Resort in RPV. He does falconry demonstrations and lectures for guests and helps rid the resort of seagulls and other varmints. Photo by Brad Graverson/The Daily Breeze/01-08-16

Birds don’t like Joe Roy III."
170,"Draft of national forest policy finalised, says official","ISLAMABAD: The Ministry of Climate Change has drafted the national forest policy and consultation among authorities concerned on it has entered its final stage, according to a senior official of the ministry. The official said on Sunday that the draft had been finalised with the help of all stakeholders."
171,Agricultural meeting on the importance of the domestic agriculture,"Güstrow (dpa/mv) - with a huge range of issues is waiting on a two-day policy meeting today (11.00 p. m.) in Güstrow begins. The Motto of the meeting organised by the friedrich ebert foundation is «think globally, act locally '."
172,Coughing much? Hong Kong suffers bigger rise in poisonous ozone pollution than industrial Guangdong,"Hong Kong has seen a bigger rise in poisonous ozone pollution than industrial Guangdong - but pollutants from the mainland are not solely to blame, environmental campaigners say. Environmentalists from Clean Air Network have urged the government to take tougher action on air pollutants through transport planning measures."
173,"Dying to Forget: Oil, Power, Palestine and the Foundations of U.S. Policy in the Middle East – Book Review","Reviewed by Rod Such. (Irene Gendzier – Dying to Forget: Oil, Power, Palestine and the Foundations of U.S. Policy in the Middle East. Columbia University Press – November 2015) During the mass demonstrations that took place across the United States to protest the imminent U.S."
174,"Whale of a study shows connections between salmon, orcas","VICTORIA - Scientists who spent five years collecting and analyzing fecal samples from endangered killer whales near Seattle and Victoria found their diet consists almost solely of Chinook salmon in the summer, confirming the deep connection between them and salmon fishing's trophy catch."
175,VW CEO plans to submit emissions fixes to EPA chief at meeting Wednesday in Washington,CEO Matthias Mueller says in Detroit that the company hasn't shown the Environmental Protection Agency solutions before. But it has presented technical data. He plans to submit a package of solutions to EPA Administrator Gina McCarthy in Washington and is hopeful both sides can agree on how to fix the cars.
176,Vw-chef announces US-Investition to,"""We know that our customers, the competent public authorities and the general public, here in the united states have very disappointed,"" said Müller on Sunday evening (local time) in Detroit. The VW-Chef asked ""to apologise for what at Volkswagen went wrong"" and stated:...."
177,Gang after Canossa: VW-Chef apologises in the USA for exhaust gas affair,"«we know that our customers, the competent public authorities and the general public very disappointed here in the united states have», said Müller on Sunday evening (local time) in Detroit. The VW-Chef asked «to apologise for what at Volkswagen went wrong 'and stated:...."
178,Sinn Féin TD Jonathan O’ Brien discusses the pain and regret of being big brother to a heroin addict,"Despite the recession being ‘officially’ over, heroin, the Sinn Féin drugs spokesman explains, is still destroying families across the country. Including, he adds, his own. In an honest and at times emotional interview with the Irish Examiner, initially intended to be a positive story of how his...."
179,Wildlife charities back call for more deer culling powers,"Wildlife charities have backed calls from a member of the Scottish Government’s environment committee for more deer culling powers in a bid to protect woodland and habitat. Under the current system, the management of deer numbers in Scotland is mainly carried out by landowners on a voluntary basis."
180,Every sector must manage its impact on global climate,"Like it or not, climate change is now a fact of life, both here in Ireland, as evidenced by our ever more frequent flooding disasters, and globally. The Paris Agreement hammered out and agreed by almost every nation on Earth last month, binds us to dramatically and urgently reducing our greenhouse gas (GHG) emissions."
181,Why Indian auto companies fail to comply with safe emission standards,"Stalling the introduction of better emission standards is based on specious logic, especially in a country that has 13 of the world's most polluted cities, notes A K Bhattacharya. H as the Indian automobile industry been allowed to go scot-free as far as its compliance with the best emission...."
182,Fantino claim in the landfill is a source of contamination,"Fantino, Sánchez Ramírez. Concerned by the high degree of contamination of the municipal landfill from here, the eu leaders demanded the immediate intervention of the competent authorities. The dustbin is one kilometre of the residential area, and according to the munícipes,...."
183,VW chief apologises over emissions scandal on first US trip,"DETROIT: Volkswagen (VW) chief executive Matthias Mueller on Sunday apologised for cheating diesel car emissions tests on his first official US visit since the scandal broke in September. “We know that we have let down customers, authorities, regulators and the general public here in America,” the...."
184,Class importa,"If I read this test to intelligent my phd students and they do not know who wrote and I say: 'give me a diagnosis of the theoretical affiliation of this chapter, ""they say,' is clearly marxist."" The point of view of Weber on classes is a very marxist."
185,"Disneyland expansion part of massive Lantau land reclamation project to house 700,000 more by 2030","Dozens of hectares of reclaimed seabed, man-made islands and more highways and railroads to link with the urban areas are all part of a package of ambitious proposals seeking to turn the tranquil island of Lantau into Hong Kong’s new commercial hub, as well as a tourist haven."
186,National Ploughing Association helps foster sustainable farming ethos in Uganda,"The National Ploughing Association, founded almost 85 years ago to help develop farming in Ireland, which was then in the doldrums, is now helping a co-op in Uganda to use new knowledge to develop its land. Two farmers, Julius Itiakorit and Solomon Ajak, who are from the Mbale VIVA Co-op in eastern...."
187,Vw-chef announces US-Investition to,"Detroit. ""We know that our customers, the competent public authorities and the general public, here in the united states have very disappointed,"" said Müller on Sunday evening (local time) in Detroit. The VW-Chef asked ""to apologise for what at Volkswagen went wrong"" and...."
188,Tourism project harming Tehran forest,"Tehran, Jan 10, IRNA – The tourist resort ‘Sib Village’ under construction in Tehran Province’s Aminabad region (in the north), has already inflicted damage to the forest in the area due to the contractors’ negligence and refusal to meet environment commitments."
189,SW China city tries to help make smog-free meat,"The environmental watchdog in Dazhou, Sichuan Province, will provide more than 100 machines and equipment to allow residents to smoke meat in an enclosed environment without polluting the air. The bid is aimed at reducing smog, since the practice of smoking meat contributes to pollution in Sichuan's...."
190,"FUTUREFEED – CO2 as a Future Feedstock for Chemicals, Polymers, and Fuels","Many of the materials we use on a daily basis are derived from petrochemical sources. Most plastics contain carbon from these finite resources. Therefore, the FUTURFEED project aims to find an alternative, renewable carbon source for the materials our society depends upon."
191,Firefighting funds depleted: Record number of wildfires in national parks,"A wildfire rises over a hill in Jasper National Park on Thursday July 9, 2015. An evacuation of part of Jasper National Park has been ordered due to a forest fire in the picturesque Maligne Valley. Wildfires scorched a record amount of Canada's national parks last year ??? the latest in a number of...."
192,Addressing extreme poverty,"Stephen Scharper’s rather upbeat column on New Year’s resolutions politely asks people to ȁ#x201c;address our most dire social, ecological, and moral challenges.ȁ#x201d; He cites the fine goals of big top-down public and private institutions like the UN, the Gates Foundation, the climate COP meetings, but the work ȁ#x201c;in part, is up to us."
193,"Dear Mr M&S, here’s how to put the magic back into Marks and Spencer","As a 50-something mother, I have extended family of all ages to cater for. My dream M&S would be a place full of useful, easy-to-find clothes that work for everyone, done simply and intelligently. But to make M&S sparkle again, surgery is needed on the sagging rump of the clothing department, which drags the rest of the company down."
194,Office of the NSA: Pathology of predatory corruption,I have written previously about my shock at the way in which $2.1 billion meant for arms procurement was used as a slush fund to pump billions of Naira to Peoples’ Democratic Party operatives. It was important that the Buhari Administration exposes this irresponsible misuse of public resources and....
195,"If a new player disrupts the rules, maybe it's the rules that need to change","He inherited a system at the peak of its success, with rules carefully thought out. He thought his role was to implement and enforce rules. Then things change. Disruptive technologies change the industry and new players enter the market. Unhappy incumbents want to deny the new players access to...."
196,Real estate: Recyclinghof takes coloured reste to,"11. January 2016 05:00 real estate Recyclinghof shall directly from the remnants of coloured dpa-newskanal. Düsseldorf (dpa/tmn) - paints, solvents, Unkrautvernichter and other chemicals may overturn the home either in the Gully in the house outflow throw."
197,China issues first 'traffic rules' for civilian drones,"The guidelines have been issued on a trial basis, as the country has witnessed remarkable growth in the number of civilian drones. Li Bin started learning how to fly drones just three months ago. But now, he has passed the licensing test and become a coach at Beijing Tiantu Aviation Technology Company."
198,"Trump Tells 3,000 in Reno NFL Has Gone 'Soft' Like the US","Republican presidential hopeful Donald Trump said Sunday he doesn't watch professional football much anymore because the NFL has gone ""soft"" like the United States.

and Nevada, and if he wins Iowa's first-in-the nation caucuses next month ""we're going to run the table."
199,"OECD, 공유(共有)차량 도입시 도시 탄소배출 30%↓","【서울=뉴시스】최동준 기자 = 16일 오전 서울 신촌 유플렉스 광장에서 환경부 수도권대기환경청이 주최한 '2015 친환경 교통 주간' 대중교통 이용 장려 캠페인에서 송형근(뒷줄 왼쪽 네번째) 수도권대기환경청장, 개그맨 안상태(뒷줄 왼쪽 세번째)를 비롯한 레이싱 모델들, 학생들이 포즈를 취하고 있다. 2015.09.16. photocdj@newsis.com 2015-09-16.

OECD ITF '도시교통의 신(新)패러다임' 보고서 공유형·버스형택시 도입시 도시차량 95%↓ 日차량거리 22.9%↓ 서울시 '콜버스' 운행가능할지 '주목'."
200,Southwest China city tries to help make smog-free meat,"City in Sichuan says special equipment to help keep air clean during festival run-up. People smoke sausages in the open air in Dazhou, Sichuan province, on Dec 27. ZHANG JI/CHINA DAILY. The environmental watchdog in Dazhou, Sichuan province, will provide more than 100 machines and equipment to allow...."
201,VW CEO plans to submit emissions fixes,"VOLKSWAGEN'S new chief executive plans to present remedies for fixing diesel engines that cheat on emissions tests when he meets with the top US environmental regulator this week.

A NOTE ABOUT RELEVANT ADVERTISING: We collect information about the content (including ads) you use across this site...."
202,Funding to flow for climate change project,"The Paris Agreement will help increase Jamaica's resilience to climate change by making funding available for the country to undertake works on projects such as sea walls, ports, roads, and bridges. That is according to Robert Pickersgill, the portfolio minister."
203,Rewarded the municipality of Villanova with the humana eco-solidarity award,"She has been garlanded the generosity of villanovesi have donated in 2013 in yellow containers of HUMANA people-to-people vegyvizsgáló 1,78 kilograms of garments per inhabitant totalling eur 3.460 kilograms of clothes. This has enabled the Comune di Villanova on Arda to position themselves in the first."
204,Putin says he wants global co-operation against terrorism: Bild,"Russian President Vladimir Putin speaks during his annual end-of-year news conference in Moscow, Russia on December 17, 2015. Photo: Reuters.

MOSCOW - Russia wants to fight terrorism jointly with the rest of the world, President Vladimir Putin said in an interview published on Monday, while again...."
205,"Amnesty Beneficiaries, IDPs to Benefit From ITF’s Training Programmes","The Industrial Training Fund (ITF) said it has concluded plans with relevant agencies to train beneficiaries of the Presidential Amnesty Programmme, and internally displaced persons around the country and sustain their reintegration into the society. According to the ITF, training and skills...."
206,Volkswagen's new chief executive plans to present remedies for fixing diesel engines that cheat on emissions tests when he meets with the top US environmental regulator this week,CEO Matthias Mueller said that as of now VW has only given technical data to the Environmental Protection Agency and the California Air Resources Board. But he hopes to reach agreement with EPA Administrator Gina McCarthy Wednesday in Washington when he presents her with solutions. VW requested the meeting.
207,Star technology entrepreneur applies business skills to fight against climate change,"We’re looking at container-scale and even mobile heat stores now – lots of people want to move heat from where it’s a waste product (like at a chemical plant) to where it can be useful (housing or the local swimming pool, for example). Whom does it sell to? Around 550 Castle Rock Edinvar Housing...."
208,Putin says he wants global cooperation against terrorism,"MOSCOW: Russia wants to fight terrorism jointly with the rest of the world, President Vladimir Putin said in an interview published on Monday, while again accusing the West of exacerbating international crises that had contributed to it. “We are faced with common threats, and we still want all...."
209,Routings efficient in the development of rd,"Recent studies of the commission policy analysis of global development of the Regional council of development, Inc. (CRD), contain positive and negative results of policies implemented by governments and global institutions for sustainable development at a global level and in addition...."
210,Putin says he wants global cooperation against terrorism - Bild,"By Dmitry Solovyov. MOSCOW (Reuters) - Russia wants to fight terrorism jointly with the rest of the world, President Vladimir Putin said in an interview published on Monday, while again accusing the West of exacerbating international crises that had contributed to it."
211,VW CEO plans to submit emissions fixes to EPA chief,CEO Matthias Mueller said that as of now VW has only given technical data to the Environmental Protection Agency and the California Air Resources Board. But he hopes to reach agreement with EPA Administrator Gina McCarthy Wednesday in Washington when he presents her with solutions. VW requested the meeting.
212,Modern offices make introverts uncomfortable,"Modern office features such as hot-desking or desk-sharing and open-plan floors appeal mainly to extrovert workers with others finding them uncomfortable, according to a new study. Personality has a big impact on the type of office environment people prefer to work in, researchers said."
